"address","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","image","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","reviewsCount","type","webUrl","website"
"Calle Jovellanos 4, 33003, Oviedo España","Latina","Mediterránea","Española","Fusión","Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,,,,,"Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,"elpatiodelosnaranjosoviedo@gmail.com","1080","750",,,,,"1050","750",,,,,"1050","750",,,,,"1050","750",,,,,,,,,,,"1080","750","1440","1170",,,"1080","750","1440","1170",,,"2477698","https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/f2/34/ab/causas-limenas.jpg","false","false","43.363483","-5.844913","El Patio de los Naranjos","501","+34 985 22 79 09","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g187452-d2477698-Reviews-El_Patio_de_los_Naranjos-Oviedo_Asturias.html","http://www.elpatiodelosnaranjos.com/"
"Lugar El Mazucu s/n, 33507, Llanes España","Restaurante de carne","Española","Opciones sin gluten",,,,,,,,,,,"Opciones sin gluten",,,,"Falocampillo@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4798871","https://media-cdn.tripadvisor.com/media/photo-o/0d/fe/e4/20/chuleton.jpg","false","false","43.38246","-4.8525","Bar Parrilla el Roxin","505","+34 985 92 57 38","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g608994-d4798871-Reviews-Bar_Parrilla_El_Roxin-Llanes_Asturias.html","http://www.elroxin.es"
"El Repelao Old Inn la Covadonga, 33589 Covadonga, Cangas de Onís España","Mediterránea","Española","Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,,,,,,,"Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,"elrepelao@gmail.com","1020","660","1350","1170",,,"1020","660","1350","1170",,,"1020","660","1350","1170",,,,,,,,,"1020","660","1350","1170",,,"1020","660","1350","1170",,,"1020","660","1350","1170",,,"3360757","https://media-cdn.tripadvisor.com/media/photo-o/0f/35/08/3f/photo6jpg.jpg","false","false","43.312077","-5.05881","RESTAURANTE EL REPELAO","1027","+34 650 74 72 77","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g670648-d3360757-Reviews-Restaurant_El_Repelao-Covadonga_Cangas_de_Onis_Asturias.html","http://www.hotelelrepelao.com/es/restaurante/restaurante.asp"
"Carretera de Caso, 7, 33990 Campo de Caso, Parque Natural de Redes España","Mediterránea","Española","Opciones vegetarianas","Opciones sin gluten",,,,,,,,,,"Opciones vegetarianas","Opciones sin gluten",,,"grupolacampa@outlook.es","1380","720",,,,,"1380","720",,,,,"1020","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"10104417","https://media-cdn.tripadvisor.com/media/photo-o/0f/3a/f8/88/cachopinos-de-gochu.jpg","false","false","43.181736","-5.344619","Taberna La Campa","192","+34 985 60 84 48","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g1871951-d10104417-Reviews-Taberna_La_Campa-Campo_de_Caso_Caso_Municipality_Redes_Natural_Park_Asturias.html","http://tabernalacampa.metro.bar"
"Finca La Quinta 11 Abuli, 33010, Oviedo España","Internacional","Española","Japonesa","Mediterránea","Europea","Asiática","Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,,,"Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,"reservas@delabra.es","960","780",,,,,,,,,,,"960","780",,,,,"960","780",,,,,"960","780",,,,,"1425","780",,,,,"1425","780",,,,,"2032010","https://media-cdn.tripadvisor.com/media/photo-w/08/45/d3/2a/restaurante-de-labra.jpg","false","false","43.363335","-5.819151","Restaurante De Labra Oviedo","844","+34 985 11 76 76","€€€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g187452-d2032010-Reviews-Restaurante_De_Labra_Oviedo-Oviedo_Asturias.html","http://www.delabra.es"
"Calle Manuel Suarez 6 LangrehOtel & SPA, 33900, Langreo España","Española",,,,,,,,,,,,,,,,,"langrehotel@azzaharhoteles.com","960","810",,,,,"960","810","1410","1230",,,"960","810","1410","1230",,,"960","810","1410","1230",,,"960","810","1410","1230",,,"960","810","1410","1230",,,"960","810","1410","1230",,,"2652920","https://media-cdn.tripadvisor.com/media/photo-o/11/53/26/06/pulpin-de-pedreru-crujiente.jpg","false","false","43.30597","-5.690816","Al Punto Restaurante","178","+34 985 67 56 75","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g1058601-d2652920-Reviews-Al_Punto_Restaurante-Langreo_Asturias.html","http://www.azzaharhoteles.com/langrehotel-restaurante/"
"Calle San Miguel, 6, 33315 Tazones España","Marisco","Mediterránea","Opciones vegetarianas","Opciones sin gluten",,,,,,,,,,"Opciones vegetarianas","Opciones sin gluten",,,,"1020","810",,,,,"990","810",,,,,"990","810",,,,,"990","810",,,,,,,,,,,"990","810","1380","1230",,,"990","810","1380","1230",,,"3618788","https://media-cdn.tripadvisor.com/media/photo-o/1c/5d/be/c2/buena-pinta-arroz-con.jpg","false","false","43.545","-5.399803","Restaurante El Pescador De Tazones","344","+34 985 89 71 45","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g2558195-d3618788-Reviews-Restaurante_El_Pescador_De_Tazones-Tazones_Villaviciosa_Municipality_Asturias.html","https://restauranteelpescadordetazones.business.site/"
"Calle Decano Prendes Pando 24, 33208, Gijón España","Mediterránea","Europea","Española","Opciones sin gluten",,,,,,,,,,"Opciones sin gluten",,,,"info@tabernaelcencerro.es","990","690",,,,,,,,,,,"990","690","1470","1170",,,"990","690","1470","1170",,,"990","690","1470","1170",,,"990","690","1470","1170",,,"990","690","1470","1170",,,"3462698","https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/b1/35/75/detalle-de-la-decoracion.jpg","false","false","43.535164","-5.665746","Restaurante El Cencerro","443","+34 984 39 15 67","€€€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g187451-d3462698-Reviews-Restaurante_El_Cencerro-Gijon_Asturias.html","http://www.tabernaelcencerro.es"
"Calle Fernández Vallín, 33205, Gijón España","Mediterránea","Europea","Española","Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,,,,,,"Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,"hosteleria@casino-asturias.com","960","810",,,,,,,,,,,"960","810","1410","1260",,,"960","810","1410","1260",,,"960","810","1410","1260",,,"960","810","1410","1260",,,"960","810","1410","1260",,,"2304124","https://media-cdn.tripadvisor.com/media/photo-o/0b/50/d0/a0/fabada-as-de-picas-finalista.jpg","false","false","43.539448","-5.662492","As de Picas","785","+34 985 35 11 11","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g187451-d2304124-Reviews-As_de_Picas-Gijon_Asturias.html","http://asdepicasrestaurante.com/"
"Avenida Florez Estrada 16, 33180, Noreña España","Española","Opciones vegetarianas","Opciones sin gluten",,,,,,,,,,,"Opciones vegetarianas","Opciones sin gluten",,,"Letual@letual.es","1440","540",,,,,"1440","540",,,,,"1440","540",,,,,,,,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"5503690","https://media-cdn.tripadvisor.com/media/photo-o/04/cd/bb/6b/getlstd-property-photo.jpg","false","false","43.393406","-5.705036","Restaurante Letual","257","+34 985 74 13 81","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g1025024-d5503690-Reviews-Restaurante_Letual-Norena_Asturias.html","https://www.facebook.com/restaurante.letual/"
"33002 Calle la Lila Numero 25, 33002, Oviedo España","Marisco","Mediterránea","Española","Opciones sin gluten",,,,,,,,,,"Opciones sin gluten",,,,,"960","780","1410","1200",,,"960","780","1410","1200",,,,,,,,,"960","780","1410","1200",,,"960","780","1410","1200",,,"960","780","1410","1200",,,"960","780","1410","1200",,,"6016162","https://media-cdn.tripadvisor.com/media/photo-o/05/4f/f0/6e/alberto-calidade.jpg","false","false","43.366474","-5.847247","sidreria alberto","447","+34 646 69 43 79","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g187452-d6016162-Reviews-Sidreria_Alberto-Oviedo_Asturias.html","http://www.facebook.com/Sidrer%C3%ADa-Alberto-1543182682633784"
"c/ Teresa de Francisco s/n, 33776, Santa Eulalia de Oscos España","Española","Opciones sin gluten",,,,,,,,,,,,"Opciones sin gluten",,,,"info@hotelcasapedro.com","1020","510",,,,,"1440","510",,,,,"1440","510",,,,,"1440","510",,,,,"1440","510",,,,,"1440","510",,,,,"1440","510",,,,,"2413098","https://media-cdn.tripadvisor.com/media/photo-s/02/f8/7a/78/restaurante-casa-pedro.jpg","false","false","43.258526","-7.018543","Restaurante Casa Pedro","251","+34 650 41 52 73","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g2052516-d2413098-Reviews-Restaurante_Casa_Pedro-Santa_Eulalia_de_Oscos_Asturias.html","http://www.hotelcasapedro.com"
"C/Gregorio Garcia Jove 9 N°8, 33201, Gijón España","Española","Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,,,,,,,,"Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,"lacesteriagijon@gmail.com","1020","780",,,,,,,,,,,"1020","780","1425","1200",,,"1020","780","1425","1200",,,"1020","780","1425","1200",,,"1020","780","1440","1200",,,"1020","780","1440","1200",,,"12630107","https://media-cdn.tripadvisor.com/media/photo-o/24/b3/b8/9a/increible.jpg","false","false","43.54638","-5.66184","La Cesteria","141","+34 645 24 43 64","€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g187451-d12630107-Reviews-La_Cesteria-Gijon_Asturias.html","http://www.facebook.com/lacesteriagijon"
"Manuel Alvarez Miranda 13, 33300 Villaviciosa España","Mediterránea","Europea","Española","Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,,,,,,"Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,"930","780","1380","1200",,,"930","780","1380","1200",,,,,,,,,"930","780","1380","1200",,,"930","780","1380","1200",,,"930","780","1380","1200",,,"930","780","1380","1200",,,"3846999","https://media-cdn.tripadvisor.com/media/photo-o/1c/9e/3e/f7/terrina-de-pulpo.jpg","false","false","43.481773","-5.431349","El Tonel","387","+34 985 89 23 59","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g608997-d3846999-Reviews-El_Tonel-Villaviciosa_Asturias.html","http://www.restauranteeltonel.es"
"Calle Cueto Bajo N° 8 Junto al edificio de Correos, 33500, Llanes España","Española","Opciones sin gluten",,,,,,,,,,,,"Opciones sin gluten",,,,,"1020","540",,,,,,,,,,,"1440","510",,,,,"1440","510",,,,,"1440","510",,,,,"1440","510",,,,,"1440","510",,,,,"7991338","https://media-cdn.tripadvisor.com/media/photo-o/08/13/3a/a2/la-amistad.jpg","false","false","43.418552","-4.753836","Bar Sidrería La Amistad","643","+34 985 40 08 93","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g608994-d7991338-Reviews-Bar_Sidreria_La_Amistad-Llanes_Asturias.html","https://www.facebook.com/BarSidreriaLaAmistad/"
"Estacion, 10 llanera, 33480 Villabona España","Española","Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,,,,,,,,"Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,"restaurantemichem@hotmail.com","1140","720",,,,,"1320","600",,,,,,,,,,,"1320","600",,,,,"1320","600",,,,,"1410","600",,,,,"1410","600",,,,,"6078845","https://media-cdn.tripadvisor.com/media/photo-o/12/35/2a/ee/michem.jpg","false","false","43.46255","-5.825869","Michem","228","+34 985 77 90 05","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g8521566-d6078845-Reviews-Michem-Villabona_Llanera_Municipality_Asturias.html","http://restaurantemichem.blogspot.com.es"
"Calle de Carlos Albo Kay 39, 33430 Candás España","Mediterránea","Española","Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,,,,,,,"Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,"1500","510",,,,,,,,,,,"1500","510",,,,,"1500","510",,,,,"1500","510",,,,,"1500","510",,,,,"1500","510",,,,,"6715384","https://media-cdn.tripadvisor.com/media/photo-o/14/21/32/d7/cachopo-a-la-plancha.jpg","false","false","43.586613","-5.765988","Llagar de Pola","381","+34 984 39 16 09","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g644313-d6715384-Reviews-Llagar_de_Pola-Candas_Carreno_Municipality_Asturias.html","https://www.facebook.com/llagardepola"
"Calle Quirinal 20 Cerca del estadio de fútbol, hotel Villa de Avilés y centro comercial Meanas, 33401, Avilés España","Bar","Española","Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,,,,,,,,"Opciones vegetarianas","Opciones veganas","Opciones sin gluten",,"pasajeroma.aviles@gmail.com","960","660",,,,,"960","600","1440","1170",,,,,,,,,"960","600","1440","1170",,,"960","600","1440","1170",,,"960","600","1440","1170",,,"960","660","1440","1200",,,"7361778","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/bf/31/fc/pasaje-roma.jpg","false","false","43.559357","-5.930833","Pasaje Roma","254","+34 984 29 27 41","€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g187450-d7361778-Reviews-Pasaje_Roma-Aviles_Asturias.html","http://pasajeroma.com/"
"Calle Oscura 1, 33560, Ribadesella España","Mediterránea","Europea","Española","Opciones vegetarianas","Opciones sin gluten",,,,,,,,,"Opciones vegetarianas","Opciones sin gluten",,,"jaimeuz@arbidelrestaurante.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2170603","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/80/b3/55/anguila-ahumada-y-trufa.jpg","false","false","43.461384","-5.059664","Arbidel Restaurante","978","+34 985 86 14 40","€€€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g660742-d2170603-Reviews-Arbidel_Restaurante-Ribadesella_Asturias.html","http://arbidelrestaurante.com/"
"Calle de Juan Alonso 12 Esquina con Ezqurdia, 33202, Gijón España","Mediterránea","Española","Opciones vegetarianas","Opciones sin gluten",,,,,,,,,,"Opciones vegetarianas","Opciones sin gluten",,,,"990","750","1410","1200",,,,,,,,,"990","750","1410","1200",,,"990","750","1410","1200",,,"990","750","1410","1200",,,"990","750","1410","1200",,,"990","750","1410","1200",,,"3736283","https://media-cdn.tripadvisor.com/media/photo-o/03/58/77/ac/el-mirador-de-la-playa.jpg","false","false","43.540802","-5.655778","El Mirador de la Playa","306","+34 985 34 45 14","€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g187451-d3736283-Reviews-El_Mirador_de_la_Playa-Gijon_Asturias.html","http://www.miradordelaplaya.es"
"Calle Ramona Rodríguez Bustelo, 9 BAJO, 33180, Noreña España","Española","Opciones vegetarianas",,,,,,,,,,,,"Opciones vegetarianas",,,,"barlaplazanorena9@icloud.com","960","720",,,,,,,,,,,"960","720","1439","1230",,,"960","720","1439","1230",,,"960","720","1439","1230",,,"960","720","1439","1230",,,"960","720","1439","1230",,,"4474512","https://media-cdn.tripadvisor.com/media/photo-o/05/48/d7/d9/bar-la-plaza.jpg","false","false","43.394432","-5.708475","Bar La Plaza","253","+34 985 74 00 44","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g1025024-d4474512-Reviews-Bar_la_Plaza-Norena_Asturias.html",
"Calle Santa Isabel 18 C/Santa Isabel 18, 33420 Lugones España","Española","Opciones sin gluten",,,,,,,,,,,,"Opciones sin gluten",,,,,,,,,,,"1380","510",,,,,"1380","510",,,,,"1380","510",,,,,"1380","510",,,,,"1440","510",,,,,"1440","585",,,,,"3474133","https://media-cdn.tripadvisor.com/media/photo-o/08/b0/48/39/navelgas.jpg","false","false","43.400623","-5.80356","Meson Navelgas","179","+34 985 26 37 26","€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g2437300-d3474133-Reviews-Meson_Navelgas-Lugones_Siero_Municipality_Asturias.html","http://www.facebook.com/Meson-Navelgas-391170464247738/"
"Puertas de Vidiago, 33597, Llanes España","Española","Opciones vegetarianas","Opciones sin gluten",,,,,,,,,,,"Opciones vegetarianas","Opciones sin gluten",,,,"990","810","1410","1200",,,"990","810","1410","1200",,,"990","810","1410","1200",,,"990","810","1410","1200",,,"990","810","1410","1200",,,"990","810","1410","1200",,,"990","810","1410","1200",,,"1852891","https://media-cdn.tripadvisor.com/media/photo-m/1280/16/d7/30/36/photo0jpg.jpg","false","false","43.398518","-4.686297","Casa Poli","1386","+34 985 41 12 17","€€ - €€€",,,,"4.5","0","RESTAURANT","https://www.tripadvisor.es/Restaurant_Review-g608994-d1852891-Reviews-Casa_Poli-Llanes_Asturias.html","http://www.casapoli.es/principal.htm"
